ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source
0,Northeast total,Northeast,1945,Total land,112402,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1,Northeast,Maine,1945,Total land,19866,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
2,Northeast,New Hampshire,1945,Total land,5775,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
3,Northeast,Vermont,1945,Total land,5938,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
4,Northeast,Massachusetts,1945,Total land,5060,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
5,Northeast,Rhode Island,1945,Total land,677,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
6,Northeast,Connecticut,1945,Total land,3135,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7,Northeast,New York,1945,Total land,30675,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
8,Northeast,New Jersey,1945,Total land,4814,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
9,Northeast,Pennsylvania,1945,Total land,28829,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
10,Northeast,Delaware,1945,Total land,1266,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
11,Northeast,Maryland,1945,Total land,6328,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
12,Northeast,District of Columbia,1945,Total land,39,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13,Lake States total,Lake States,1945,Total land,122718,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
14,Lake States,Michigan,1945,Total land,36494,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
15,Lake States,Wisconsin,1945,Total land,35018,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
16,Lake States,Minnesota,1945,Total land,51206,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
17,Corn Belt total,Corn Belt,1945,Total land,165459,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
18,Corn Belt,Ohio,1945,Total land,26318,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
19,Corn Belt,Indiana,1945,Total land,23171,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
20,Corn Belt,Illinois,1945,Total land,35806,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
21,Corn Belt,Iowa,1945,Total land,35831,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
22,Corn Belt,Missouri,1945,Total land,44333,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
23,Northern Plains total,Northern Plains,1945,Total land,195428,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
24,Northern Plains,North Dakota,1945,Total land,44835,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
25,Northern Plains,South Dakota,1945,Total land,48983,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
26,Northern Plains,Nebraska,1945,Total land,49058,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
27,Northern Plains,Kansas,1945,Total land,52552,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
28,Appalachian total,Appalachian,1945,Total land,124929,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
29,Appalachian,Virginia,1945,Total land,25535,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
30,Appalachian,West Virginia,1945,Total land,15418,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
31,Appalachian,North Carolina,1945,Total land,31451,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
32,Appalachian,Kentucky,1945,Total land,25670,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
33,Appalachian,Tennessee,1945,Total land,26855,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
34,Southeast total,Southeast,1945,Total land,124450,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
35,Southeast,South Carolina,1945,Total land,19580,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
36,Southeast,Georgia,1945,Total land,37452,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
37,Southeast,Florida,1945,Total land,34728,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
