ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source,Price per Acre (USD),Total Land (m²),Price (USD),Price per m² (USD)
0,Northeast total,Northeast,1945,Total land,112402.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5500.0,454875157.72,618211000.0,1.359078396584018
1,Northeast,Maine,1945,Total land,19866.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4000.0,80394920.76,79464000.0,0.9884206520611041
2,Northeast,New Hampshire,1945,Total land,5775.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,23370616.5,28875000.0,1.2355258150763802
3,Northeast,Vermont,1945,Total land,5938.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4500.0,24030254.68,26721000.0,1.1119732335687422
4,Northeast,Massachusetts,1945,Total land,5060.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7000.0,20477111.6,35420000.0,1.729736141106932
5,Northeast,Rhode Island,1945,Total land,677.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7500.0,2739724.22,5077500.0,1.8532887226145702
6,Northeast,Connecticut,1945,Total land,3135.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6800.0,12686906.1,21318000.0,1.6803151085038772
7,Northeast,New York,1945,Total land,30675.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",10000.0,124137430.5,306750000.0,2.4710516301527603
8,Northeast,New Jersey,1945,Total land,4814.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",12000.0,19481584.04,57768000.0,2.9652619561833125
9,Northeast,Pennsylvania,1945,Total land,28829.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6500.0,116666926.94,187388500.0,1.6061835595992944
