ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source,Price per Acre (TND),Total Land (m²),Price (TND),Price per m² (TND),State_encoded,Land_use_encoded
0,Center,Gafsa,1945,Total land,112402.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5500.0,454875157.72,618211000.0,464.2500226496701,41,14
1,South,Siliana,1945,Total land,19866.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4000.0,80394920.76,79464000.0,431.4849372561745,24,14
2,North,Ben Arous,1945,Total land,5775.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,23370616.5,28875000.0,450.8957702749574,35,14
3,South,Sfax,1945,Total land,5938.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4500.0,24030254.68,26721000.0,452.2631436042834,57,14
4,North,Tunis,1945,Total land,5060.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7000.0,20477111.6,35420000.0,485.516056577081,26,14
5,Center,Kebili,1945,Total land,677.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7500.0,2739724.22,5077500.0,453.7706167747484,48,14
6,South,Sousse,1945,Total land,3135.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6800.0,12686906.1,21318000.0,496.6488391062344,8,14
7,South,Manouba,1945,Total land,30675.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",10000.0,124137430.5,306750000.0,548.512106965909,38,14
8,North,Sfax,1945,Total land,4814.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",12000.0,19481584.04,57768000.0,531.7365679239844,36,14
9,South,Sousse,1945,Total land,28829.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6500.0,116666926.94,187388500.0,469.1597353007713,47,14
10,North,Tataouine,1945,Total land,1266.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5123324.76,6330000.0,461.785083890237,10,14
11,North,Gabes,1945,Total land,6328.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,25608530.08,31640000.0,454.12042536508073,25,14
