Year,Month,Food at home sales million nominal U.S. dollars with taxes and tips,Food away from home sales million nominal U.S. dollars with taxes and tips,Total food sales million nominal U.S. dollars with taxes and tips,Food at home sales million constant 1988 U.S. dollars with taxes and tips,Food away from home sales million constant 1988 U.S. dollars with taxes and tips,Total food sales million constant 1988 U.S. dollars with taxes and tips_x,Grocery stores sales million nominal U.S. dollars with taxes and tips,Warehouse clubs and supercenters sales million nominal U.S. dollars with taxes and tips,Other food at home sales million nominal U.S. dollars with taxes and tips,Total food at home sales million nominal U.S. dollars with taxes and tips,Full-service restaurants sales million nominal U.S. dollars with taxes and tips,Limited-service restaurants sales million nominal U.S. dollars with taxes and tips,Other food away from home sales million nominal U.S. dollars with taxes and tips,Total food away from home sales million nominal U.S. dollars with taxes and tips,Total nominal U.S. dollars food sales with taxes and tips,Grocery stores sales million constant 1988 U.S. dollars with taxes and tips,Warehouse clubs and supercenters sales million constant 1988 U.S. dollars with taxes and tips,Other food at home sales million constant 1988 U.S. dollars with taxes and tips,Total food at home sales million constant 1988 U.S. dollars with taxes and tips,Full-service restaurants sales million constant 1988 U.S. dollars with taxes and tips,Limited-service restaurants sales million constant 1988 U.S. dollars with taxes and tips,Other food away from home sales million constant 1988 U.S. dollars with taxes and tips,Total food away from home sales million constant 1988 U.S. dollars with taxes and tips,Total food sales million constant 1988 U.S. dollars with taxes and tips_y,Date
2024,November,95656.09,114435.81,210091.91,36217.51,37323.76,73541.27,,,,,,,,,,,,,,,,,,,2024-11-01
2024,October,93264.84,117611.72,210876.56,35286.0,38467.11,73753.11,,,,,,,,,,,,,,,,,,,2024-10-01
2024,September,88347.26,113183.13,201530.38,33472.5,37106.51,70579.02,,,,,,,,,,,,,,,,,,,2024-09-01
2024,August,93574.33,120947.75,214522.08,35610.85,39786.59,75397.44,,,,,,,,,,,,,,,,,,,2024-08-01
2024,July,92725.62,118376.29,211101.91,35260.13,39042.41,74302.53,,,,,,,,,,,,,,,,,,,2024-07-01
2024,June,90313.85,118106.38,208420.22,34443.1,39034.44,73477.53,,,,,,,,,,,,,,,,,,,2024-06-01
2024,May,93815.94,121491.02,215306.95,35787.24,40319.0,76106.24,,,,,,,,,,,,,,,,,,,2024-05-01
2024,April,86855.28,114246.93,201102.22,33128.98,38048.21,71177.19,,,,,,,,,,,,,,,,,,,2024-04-01
2024,March,91166.2,118069.45,209235.66,34805.28,39457.9,74263.19,,,,,,,,,,,,,,,,,,,2024-03-01
2024,February,83675.7,107877.49,191553.19,31941.07,36146.02,68087.09,,,,,,,,,,,,,,,,,,,2024-02-01
2024,January,86140.25,103589.03,189729.28,32928.42,34742.27,67670.69,,,,,,,,,,,,,,,,,,,2024-01-01
