Year,Month,Grocery stores sales million nominal U.S. dollars with taxes and tips,Warehouse clubs and supercenters sales million nominal U.S. dollars with taxes and tips,Other food at home sales million nominal U.S. dollars with taxes and tips,Total food at home sales million nominal U.S. dollars with taxes and tips,Full-service restaurants sales million nominal U.S. dollars with taxes and tips,Limited-service restaurants sales million nominal U.S. dollars with taxes and tips,Other food away from home sales million nominal U.S. dollars with taxes and tips,Total food away from home sales million nominal U.S. dollars with taxes and tips,Total nominal U.S. dollars food sales with taxes and tips,Grocery stores sales million constant 1988 U.S. dollars with taxes and tips,Warehouse clubs and supercenters sales million constant 1988 U.S. dollars with taxes and tips,Other food at home sales million constant 1988 U.S. dollars with taxes and tips,Total food at home sales million constant 1988 U.S. dollars with taxes and tips,Full-service restaurants sales million constant 1988 U.S. dollars with taxes and tips,Limited-service restaurants sales million constant 1988 U.S. dollars with taxes and tips,Other food away from home sales million constant 1988 U.S. dollars with taxes and tips,Total food away from home sales million constant 1988 U.S. dollars with taxes and tips,Total food sales million constant 1988 U.S. dollars with taxes and tips
2023,December,"51,628.40","25,028.96","23,271.16","99,928.52","47,406.62","44,485.76","24,644.93","116,537.31","216,465.83","19,867.56","9,632.17","8,955.63","38,455.36","15,974.15","14,989.14","8,303.80","39,267.09","77,722.45"
2023,November,"49,031.77","21,150.10","21,920.28","92,102.15","41,488.79","41,899.89","23,859.01","107,247.69","199,349.84","18,854.70","8,133.55","8,429.70","35,417.95","14,025.89","14,164.12","8,065.38","36,255.39","71,673.34"
2023,October,"47,988.36","20,387.58","21,020.88","89,396.82","43,013.04","44,108.90","24,378.39","111,500.33","200,897.16","18,358.77","7,800.08","8,042.36","34,201.21","14,604.36","14,975.65","8,276.76","37,856.77","72,057.98"
2023,September,"47,388.03","19,592.93","20,191.41","87,172.37","42,467.24","43,547.86","24,338.93","110,354.03","197,526.41","18,180.59","7,517.34","7,746.95","33,444.88","14,472.93","14,840.42","8,294.25","37,607.60","71,052.48"
2023,August,"48,744.54","21,026.62","21,004.37","90,775.52","43,636.95","45,221.39","24,681.41","113,539.74","204,315.27","18,713.88","8,072.96","8,064.40","34,851.25","14,930.25","15,471.54","8,444.14","38,845.93","73,697.17"
2023,July,"48,813.97","20,421.07","20,365.27","89,600.30","44,302.26","46,096.48","24,173.14","114,571.88","204,172.19","18,756.66","7,847.21","7,825.77","34,429.64","15,210.04","15,825.20","8,298.70","39,333.94","73,763.58"
2023,June,"47,605.15","20,176.49","20,342.69","88,124.33","43,797.39","45,262.91","24,389.19","113,449.48","201,573.81","18,359.94","7,781.95","7,846.04","33,987.92","15,062.89","15,566.10","8,387.46","39,016.45","73,004.38"
2023,May,"49,074.65","20,559.77","20,843.66","90,478.08","44,086.08","45,488.59","24,712.20","114,286.88","204,764.95","18,914.17","7,924.54","8,033.95","34,872.65","15,220.31","15,703.69","8,531.13","39,455.13","74,327.78"
2023,April,"47,032.06","19,801.32","19,547.69","86,381.06","41,432.73","43,568.09","23,850.84","108,851.66","195,232.72","18,139.33","7,637.42","7,539.60","33,316.35","14,371.67","15,111.56","8,272.58","37,755.80","71,072.16"
2023,March,"47,929.82","19,002.95","20,074.37","87,007.13","43,410.64","44,129.13","23,955.22","111,494.99","198,502.13","18,510.68","7,339.44","7,753.27","33,603.39","15,113.38","15,362.71","8,339.47","38,815.55","72,418.94"
2023,February,"43,862.33","17,723.52","18,046.43","79,632.28","38,553.87","38,115.30","21,888.98","98,558.15","178,190.44","16,908.16","6,832.51","6,957.00","30,697.67","13,502.56","13,348.26","7,665.60","34,516.42","65,214.09"
2023,January,"47,222.64","18,447.13","18,830.52","84,500.28","39,739.63","39,078.74","21,951.38","100,769.74","185,270.03","18,266.79","7,136.19","7,284.52","32,687.50","14,006.10","13,772.44","7,736.19","35,514.73","68,202.23"
2022,December,"51,541.02","24,811.11","22,793.51","99,145.64","42,056.53","39,994.66","23,423.71","105,474.91","204,620.55","20,098.40","9,686.28","8,893.35","38,678.04","14,917.19","14,182.81","8,309.12","37,409.12","76,087.16"
2022,November,"48,674.98","21,745.63","21,581.90","92,002.51","37,285.16","38,237.89","22,620.83","98,143.88","190,146.38","19,032.01","8,512.42","8,443.83","35,988.27","13,274.78","13,611.05","8,054.66","34,940.49","70,928.77"
2022,October,"48,054.84","20,348.12","20,614.08","89,017.04","40,503.50","40,966.72","23,230.86","104,701.08","193,718.13","18,782.17","7,962.24","8,062.39","34,806.80","14,494.04","14,656.65","8,314.05","37,464.74","72,271.55"
2022,September,"46,398.61","19,036.79","19,678.19","85,113.60","39,008.82","39,548.24","22,617.97","101,175.03","186,288.63","18,234.44","7,490.03","7,738.83","33,463.30","14,090.05","14,281.82","8,170.58","36,542.46","70,005.76"
2022,August,"47,423.64","20,085.37","20,736.30","88,245.30","40,289.66","41,757.86","22,758.16","104,805.67","193,050.97","18,748.71","7,949.85","8,203.46","34,902.02","14,690.16","15,222.21","8,298.98","38,211.34","73,113.36"
