Year,Month,Food at home sales million nominal U.S. dollars with taxes and tips,Food away from home sales million nominal U.S. dollars with taxes and tips,Total food sales million nominal U.S. dollars with taxes and tips,Food at home sales million constant 1988 U.S. dollars with taxes and tips,Food away from home sales million constant 1988 U.S. dollars with taxes and tips,Total food sales million constant 1988 U.S. dollars with taxes and tips
2024,November,"95,656.09","114,435.81","210,091.91","36,217.51","37,323.76","73,541.27"
2024,October,"93,264.84","117,611.72","210,876.56","35,286.00","38,467.11","73,753.11"
2024,September,"88,347.26","113,183.13","201,530.38","33,472.50","37,106.51","70,579.02"
2024,August,"93,574.33","120,947.75","214,522.08","35,610.85","39,786.59","75,397.44"
2024,July,"92,725.62","118,376.29","211,101.91","35,260.13","39,042.41","74,302.53"
2024,June,"90,313.85","118,106.38","208,420.22","34,443.10","39,034.44","73,477.53"
2024,May,"93,815.94","121,491.02","215,306.95","35,787.24","40,319.00","76,106.24"
2024,April,"86,855.28","114,246.93","201,102.22","33,128.98","38,048.21","71,177.19"
2024,March,"91,166.20","118,069.45","209,235.66","34,805.28","39,457.90","74,263.19"
2024,February,"83,675.70","107,877.49","191,553.19","31,941.07","36,146.02","68,087.09"
2024,January,"86,140.25","103,589.03","189,729.28","32,928.42","34,742.27","67,670.69"
2023,December,"99,928.52","116,537.31","216,465.83","38,455.36","39,267.09","77,722.45"
2023,November,"92,102.15","107,247.69","199,349.84","35,417.95","36,255.38","71,673.33"
2023,October,"89,396.82","111,500.33","200,897.16","34,201.21","37,856.77","72,057.98"
2023,September,"87,172.37","110,354.03","197,526.41","33,444.88","37,607.60","71,052.48"
2023,August,"90,775.52","113,539.74","204,315.27","34,851.25","38,845.93","73,697.17"
2023,July,"89,600.30","114,571.88","204,172.19","34,429.64","39,333.93","73,763.58"
2023,June,"88,124.33","113,449.48","201,573.81","33,987.92","39,016.45","73,004.37"
2023,May,"90,478.08","114,286.88","204,764.95","34,872.65","39,455.13","74,327.78"
2023,April,"86,381.06","108,851.66","195,232.72","33,316.35","37,755.80","71,072.16"
2023,March,"87,007.13","111,494.99","198,502.13","33,603.39","38,815.55","72,418.94"
2023,February,"79,632.28","98,558.15","178,190.44","30,697.67","34,516.41","65,214.09"
2023,January,"84,500.28","100,769.74","185,270.03","32,687.50","35,514.73","68,202.23"
2022,December,"99,145.64","105,474.91","204,620.55","38,678.04","37,409.11","76,087.15"
2022,November,"92,002.51","98,143.88","190,146.38","35,988.27","34,940.49","70,928.77"
2022,October,"89,017.04","104,701.08","193,718.13","34,806.80","37,464.74","72,271.55"
2022,September,"85,113.60","101,175.04","186,288.64","33,463.30","36,542.46","70,005.76"
2022,August,"88,245.30","104,805.67","193,050.97","34,902.02","38,211.34","73,113.36"
2022,July,"88,896.27","105,655.08","194,551.34","35,403.70","38,854.68","74,258.39"
2022,June,"87,669.95","103,862.52","191,532.47","35,409.39","38,463.51","73,872.91"
2022,May,"87,698.59","105,795.77","193,494.36","35,784.02","39,549.79","75,333.81"
2022,April,"83,614.06","101,353.27","184,967.34","34,575.91","38,169.27","72,745.18"
2022,March,"84,560.60","99,254.84","183,815.44","35,412.73","37,596.29","73,009.03"
2022,February,"74,657.76","85,803.30","160,461.06","31,726.07","32,582.98","64,309.05"
2022,January,"80,653.91","83,571.13","164,225.03","34,762.48","31,875.30","66,637.79"
2021,December,"91,905.23","93,937.60","185,842.84","40,082.89","36,091.12","76,174.00"
2021,November,"84,605.19","88,694.48","173,299.66","37,061.29","34,280.95","71,342.23"
2021,October,"82,538.63","93,755.59","176,294.22","36,279.43","36,455.38","72,734.81"
2021,September,"77,963.79","89,692.89","167,656.69","34,631.62","35,166.79","69,798.41"
2021,August,"80,682.88","93,558.08","174,240.97","36,235.32","36,879.09","73,114.42"
2021,July,"80,514.59","96,014.84","176,529.42","36,271.85","38,008.84","74,280.69"
2021,June,"78,684.92","91,389.16","170,074.09","35,669.29","36,460.49","72,129.78"
2021,May,"80,074.32","90,803.30","170,877.63","36,568.48","36,483.76","73,052.23"
2021,April,"76,150.92","84,285.16","160,436.09","34,879.93","34,051.33","68,931.27"
2021,March,"78,380.17","81,722.20","160,102.38","36,117.78","33,117.05","69,234.83"
2021,February,"67,539.78","64,905.60","132,445.38","31,185.93","26,333.55","57,519.48"
2021,January,"73,674.02","67,843.37","141,517.39","34,100.54","27,539.94","61,640.47"
2020,December,"81,375.17","69,075.59","150,450.77","37,770.16","28,110.44","65,880.60"
2020,November,"75,228.64","67,697.91","142,926.56","35,035.23","27,652.88","62,688.11"
2020,October,"74,573.17","75,178.05","149,751.22","34,519.05","30,745.44","65,264.50"
2020,September,"71,205.23","71,986.12","143,191.34","33,034.55","29,520.61","62,555.16"
2020,August,"74,259.73","74,060.90","148,320.63","34,317.43","30,540.35","64,857.78"
2020,July,"75,781.51","71,869.09","147,650.59","34,991.43","29,720.82","64,712.25"
2020,June,"72,909.72","67,401.96","140,311.69","33,338.18","28,004.66","61,342.84"
2020,May,"76,341.51","56,462.11","132,803.63","35,074.47","23,580.72","58,655.20"
2020,April,"70,762.89","41,459.10","112,221.98","32,783.95","17,378.64","50,162.59"
2020,March,"81,128.83","63,041.38","144,170.22","38,591.22","26,463.93","65,055.16"
2020,February,"64,407.57","79,336.55","143,744.13","30,776.50","33,354.41","64,130.91"
2020,January,"66,694.53","78,630.00","145,324.53","31,993.04","33,131.00","65,124.04"
2019,December,"76,391.16","80,137.73","156,528.91","36,844.08","33,887.36","70,731.45"
2019,November,"71,434.13","76,664.18","148,098.31","34,456.68","32,511.40","66,968.09"
2019,October,"69,042.18","79,382.40","148,424.58","33,218.54","33,718.61","66,937.14"
2019,September,"65,714.18","77,048.77","142,762.95","31,721.64","32,789.67","64,511.32"
2019,August,"70,955.20","83,493.91","154,449.13","34,306.99","35,624.51","69,931.50"
2019,July,"69,756.05","82,140.03","151,896.08","33,698.41","35,122.63","68,821.03"
2019,June,"68,334.13","81,858.13","150,192.27","33,004.93","35,072.88","68,077.81"
2019,May,"70,657.63","83,091.39","153,749.02","34,023.16","35,717.10","69,740.25"
2019,April,"66,523.76","77,884.12","144,407.88","32,067.96","33,549.30","65,617.27"
2019,March,"67,861.91","80,589.18","148,451.09","32,621.73","34,826.71","67,448.45"
2019,February,"60,374.37","69,948.96","130,323.33","29,082.12","30,283.75","59,365.87"
2019,January,"65,672.92","70,216.17","135,889.09","31,723.00","30,507.10","62,230.11"
2018,December,"74,483.48","77,278.09","151,761.56","36,188.38","33,690.60","69,878.98"
2018,November,"69,216.00","72,488.95","141,704.95","33,718.63","31,729.09","65,447.73"
2018,October,"66,839.21","75,319.71","142,158.92","32,488.84","33,062.35","65,551.19"
2018,September,"64,531.78","73,341.89","137,873.67","31,335.51","32,223.77","63,559.29"
2018,August,"67,890.12","79,199.89","147,090.00","32,981.38","34,874.29","67,855.67"
2018,July,"66,790.40","78,526.99","145,317.39","32,473.50","34,643.48","67,116.98"
2018,June,"66,461.81","78,490.36","144,952.17","32,403.19","34,667.12","67,070.31"
2018,May,"68,179.04","78,598.73","146,777.78","33,222.50","34,778.16","68,000.66"
