Year,Grocery stores sales million nominal U.S. dollars without taxes and tips,Convenience stores sales million nominal U.S. dollars without taxes and tips,Other food at home food stores sales million nominal U.S. dollars without taxes and tips,Warehouse clubs and supercenters sales million nominal U.S. dollars without taxes and tips,Other food at home stores and foodservice sales million nominal U.S. dollars without taxes and tips,Mail order and home delivery sales million nominal U.S. dollars without taxes and tips,"Direct selling by farmers, manufacturers, and wholesalers sales million nominal U.S. dollars without taxes and tips",Home production and donations sales million nominal U.S. dollars without taxes and tips,Total food at home sales million nominal U.S. dollars without taxes and tips,Full-service restaurants sales million nominal U.S. dollars without taxes and tips,Limited-service restaurants sales million nominal U.S. dollars without taxes and tips,Drinking places sales million nominal U.S. dollars without taxes and tips,Hotels and motels sales million nominal U.S. dollars without taxes and tips,Retail stores and vending sales million nominal U.S. dollars without taxes and tips,Recreational places sales million nominal U.S. dollars without taxes and tips,Schools and colleges sales million nominal U.S. dollars without taxes and tips,"Other food away from home sales, not elsewhere classified, million nominal U.S. dollars without taxes and tips",Food furnished and donated sales million nominal U.S. dollars without taxes and tips,Total food away from home sales million nominal U.S. dollars without taxes and tips,Liquor stores sales million nominal U.S. dollars without taxes and tips,Alcohol away from home food stores sales million nominal U.S. dollars without taxes and tips,"Other alcohol at home sales, not elsewhere classified, million dollars nominal U.S. dollars without taxes and tips",Total alcohol at home sales million dollars nominal U.S. dollars without taxes and tips,Eating and drinking places sales million alcohol at home nominal U.S. dollars without taxes and tips,Hotels and motels sales million nominal U.S. dollars without taxes and tips,"Other AAFH, NEC sales million nominal U.S. dollars without taxes and tips",Total AAFH sales million nominal U.S. dollars without taxes and tips
1997,"265,244.22","9,559.27","10,485.01","29,427.56","37,115.55","11,478.32","4,030.20","1,127.42","368,467.56","100,112.91","105,723.81","1,449.27","13,296.92","11,940.65","10,448.12","27,754.29","10,063.11","22,909.52","303,698.59","19,778.16","12,794.12","15,287.56","47,859.84","27,304.25","3,449.51","3,833.74","34,587.49"
1998,"267,955.09","9,224.93","10,582.78","35,486.25","36,565.63","11,791.64","3,728.15","1,149.58","376,484.06","104,381.87","111,938.11","1,514.13","14,164.77","12,842.55","11,092.58","29,257.86","10,818.05","23,467.81","319,477.72","20,856.96","13,274.30","15,122.96","49,254.22","29,254.71","3,661.19","4,197.93","37,113.83"
1999,"277,771.69","9,275.17","10,503.02","42,917.86","39,243.00","13,016.02","3,392.27","1,171.82","397,290.84","108,836.63","115,983.14","1,578.63","15,803.12","14,597.17","11,767.00","31,081.23","11,779.24","24,300.26","335,726.41","21,766.59","14,158.33","15,159.05","51,083.98","31,305.61","4,069.57","4,420.91","39,796.09"
2000,"280,505.94","10,098.50","11,025.48","50,524.34","43,393.08","15,002.86","3,082.01","1,104.32","414,736.50","115,564.34","122,363.03","1,668.01","17,771.35","17,444.99","15,767.21","31,939.16","11,878.90","24,930.46","359,327.44","23,447.76","14,963.29","15,608.07","54,019.12","34,044.71","4,559.36","4,697.48","43,301.55"
2001,"289,805.78","10,067.45","11,671.81","59,501.71","43,732.20","14,899.06","2,716.16","1,244.96","433,639.13","120,004.89","127,234.90","1,709.05","17,058.90","18,734.12","16,478.99","33,924.15","12,284.06","25,326.03","372,755.09","24,375.87","15,880.74","14,701.05","54,957.66","36,164.91","4,360.10","4,836.94","45,361.96"
2002,"288,537.97","10,221.63","11,933.34","68,681.04","43,403.56","15,658.38","2,368.31","1,315.95","442,120.16","125,495.64","132,441.28","1,782.07","16,804.28","19,944.65","17,161.58","36,495.97","12,523.14","25,526.47","388,175.09","24,612.40","16,386.37","13,611.43","54,610.20","38,780.55","4,278.72","5,036.84","48,096.10"
2003,"294,968.50","9,493.29","12,507.62","78,156.82","45,915.07","16,120.08","2,543.53","1,344.07","461,048.97","132,463.39","141,110.80","2,008.22","16,545.59","20,846.24","17,976.27","38,591.29","13,550.61","26,265.92","409,358.31","25,251.71","16,449.77","14,623.88","56,325.37","40,062.22","4,286.34","5,292.36","49,640.92"
2004,"303,955.47","9,400.44","13,348.84","88,588.86","50,068.27","16,764.38","2,695.76","1,420.77","486,242.81","141,701.91","152,537.22","2,175.74","17,146.97","22,504.39","18,888.78","40,950.61","14,459.55","27,640.26","438,005.44","26,852.99","16,803.75","16,229.28","59,886.02","41,184.23","4,528.03","5,562.58","51,274.84"
2005,"315,973.44","8,961.56","13,458.10","100,362.86","54,272.79","17,350.95","2,867.53","1,699.75","514,946.97","150,735.34","164,752.48","2,361.61","17,292.37","22,763.14","18,211.81","43,597.63","15,113.23","29,432.72","464,260.31","28,186.43","17,169.41","17,967.80","63,323.64","42,238.26","4,664.85","5,731.50","52,634.61"
2006,"325,408.72","8,936.46","13,622.44","111,412.48","57,194.71","17,906.72","2,990.83","1,779.15","539,251.50","162,350.11","173,895.33","2,668.81","17,267.65","24,145.94","19,340.23","45,767.31","16,642.26","31,279.05","493,356.69","30,440.75","17,548.79","19,298.34","67,287.88","44,231.71","4,770.84","6,139.67","55,142.22"
