Commodity,Year,Attribute,Value
Fresh apples,1992,Retail-Price (cents/lb),89.01666667
Fresh apples,1992,Farm-Price (cents/lb),24.79166667
Fresh apples,1992,Farm share-Percent,29.01103102
Fresh apples,1993,Retail-Price (cents/lb),83.36666667
Fresh apples,1993,Farm-Price (cents/lb),18.34166667
Fresh apples,1993,Farm share-Percent,22.91791617
Fresh apples,1994,Retail-Price (cents/lb),80.325
Fresh apples,1994,Farm-Price (cents/lb),18.34166667
Fresh apples,1994,Farm share-Percent,23.78574887
Fresh apples,1995,Retail-Price (cents/lb),83.45833333
Fresh apples,1995,Farm-Price (cents/lb),22.38333333
Fresh apples,1995,Farm share-Percent,27.93726078
Fresh apples,1996,Retail-Price (cents/lb),93
Fresh apples,1996,Farm-Price (cents/lb),24.225
Fresh apples,1996,Farm share-Percent,27.13373656
Fresh apples,1997,Retail-Price (cents/lb),90.68333333
Fresh apples,1997,Farm-Price (cents/lb),19.275
Fresh apples,1997,Farm share-Percent,22.14092079
Fresh apples,1998,Retail-Price (cents/lb),94.30833333
Fresh apples,1998,Farm-Price (cents/lb),18.35833333
Fresh apples,1998,Farm share-Percent,20.27738505
Fresh apples,1999,Retail-Price (cents/lb),89.69166667
Fresh apples,1999,Farm-Price (cents/lb),17.55833333
Fresh apples,1999,Farm share-Percent,20.39200657
Fresh apples,2000,Retail-Price (cents/lb),91.88333333
Fresh apples,2000,Farm-Price (cents/lb),19.49166667
Fresh apples,2000,Farm share-Percent,22.09739102
Fresh apples,2001,Retail-Price (cents/lb),86.84166667
Fresh apples,2001,Farm-Price (cents/lb),18
Fresh apples,2001,Farm share-Percent,21.59101814
Fresh apples,2002,Retail-Price (cents/lb),94.79166667
Fresh apples,2002,Farm-Price (cents/lb),24.10833333
Fresh apples,2002,Farm share-Percent,26.49267399
Fresh apples,2003,Retail-Price (cents/lb),97.975
Fresh apples,2003,Farm-Price (cents/lb),25.65
Fresh apples,2003,Farm share-Percent,27.2709875
Fresh apples,2004,Retail-Price (cents/lb),104.2916667
Fresh apples,2004,Farm-Price (cents/lb),26.15
Fresh apples,2004,Farm share-Percent,26.11865761
Fresh apples,2005,Retail-Price (cents/lb),94.94166667
Fresh apples,2005,Farm-Price (cents/lb),17.59
Fresh apples,2005,Farm share-Percent,19.29913105
Fresh apples,2006,Retail-Price (cents/lb),106.65
Fresh apples,2006,Farm-Price (cents/lb),27.65
Fresh apples,2006,Farm share-Percent,27.00617284
Fresh apples,2007,Retail-Price (cents/lb),111.525
Fresh apples,2007,Farm-Price (cents/lb),32.54166667
Fresh apples,2007,Farm share-Percent,30.39459264
Fresh apples,2008,Retail-Price (cents/lb),131.9833333
Fresh apples,2008,Farm-Price (cents/lb),39.38333333
Fresh apples,2008,Farm share-Percent,31.08294397
Fresh apples,2009,Retail-Price (cents/lb),118.1583333
Fresh apples,2009,Farm-Price (cents/lb),23.325
Fresh apples,2009,Farm share-Percent,20.56298046
Fresh apples,2010,Retail-Price (cents/lb),122.025
Fresh apples,2010,Farm-Price (cents/lb),26.2
Fresh apples,2010,Farm share-Percent,22.36563546
Fresh apples,2011,Retail-Price (cents/lb),135.0333333
Fresh apples,2011,Farm-Price (cents/lb),33.925
Fresh apples,2011,Farm share-Percent,26.17023574
Fresh apples,2012,Retail-Price (cents/lb),137.7083333
Fresh apples,2012,Farm-Price (cents/lb),42.49166667
Fresh apples,2012,Farm share-Percent,32.14195663
Fresh apples,2013,Retail-Price (cents/lb),138.5909091
Fresh apples,2013,Farm-Price (cents/lb),
Fresh apples,2013,Farm share-Percent,
Fresh apples,2014,Retail-Price (cents/lb),135.3666667
Fresh apples,2014,Farm-Price (cents/lb),37.33333333
Fresh apples,2014,Farm share-Percent,28.72855618
Fresh apples,2015,Retail-Price (cents/lb),135.8
Fresh apples,2015,Farm-Price (cents/lb),31.85
Fresh apples,2015,Farm share-Percent,24.43084192
Fresh apples,2016,Retail-Price (cents/lb),144.2272727
Fresh apples,2016,Farm-Price (cents/lb),42.73333333
Fresh apples,2016,Farm share-Percent,30.86371117
Fresh apples,2017,Retail-Price (cents/lb),129.44
Fresh apples,2017,Farm-Price (cents/lb),40.3
Fresh apples,2017,Farm share-Percent,32.43137103
