Commodity,Year,Attribute,Value
Fresh fruit basket,2010,Retail cost-2018 = 100,88.260227873265
Fresh fruit basket,2010,Farm value-2018 = 100,84.3473302485893
Fresh fruit basket,2010,Farm-to-retail spread-2018 = 100,90.2794108694821
Fresh fruit basket,2010,Farm-value share-Percent,32.5293160538682
Fresh fruit basket,2011,Retail cost-2018 = 100,91.2070820885918
Fresh fruit basket,2011,Farm value-2018 = 100,92.7958005996293
Fresh fruit basket,2011,Farm-to-retail spread-2018 = 100,90.3872514385303
Fresh fruit basket,2011,Farm-value share-Percent,34.6312682738652
Fresh fruit basket,2012,Retail cost-2018 = 100,92.1610720612919
Fresh fruit basket,2012,Farm value-2018 = 100,98.1219698320755
Fresh fruit basket,2012,Farm-to-retail spread-2018 = 100,89.085054088051
Fresh fruit basket,2012,Farm-value share-Percent,36.2399321409878
Fresh fruit basket,2013,Retail cost-2018 = 100,93.9647264671977
Fresh fruit basket,2013,Farm value-2018 = 100,99.7192445913969
Fresh fruit basket,2013,Farm-to-retail spread-2018 = 100,90.995207133359
Fresh fruit basket,2013,Farm-value share-Percent,36.1229127086673
Fresh fruit basket,2014,Retail cost-2018 = 100,98.5022028844232
Fresh fruit basket,2014,Farm value-2018 = 100,101.326783275862
Fresh fruit basket,2014,Farm-to-retail spread-2018 = 100,97.0446271324092
Fresh fruit basket,2014,Farm-value share-Percent,35.0144209203878
Fresh fruit basket,2015,Retail cost-2018 = 100,96.3740714068614
Fresh fruit basket,2015,Farm value-2018 = 100,102.972550693993
Fresh fruit basket,2015,Farm-to-retail spread-2018 = 100,92.9690405434303
Fresh fruit basket,2015,Farm-value share-Percent,36.3688777194005
Fresh fruit basket,2016,Retail cost-2018 = 100,98.5200012048094
Fresh fruit basket,2016,Farm value-2018 = 100,107.839943948137
Fresh fruit basket,2016,Farm-to-retail spread-2018 = 100,93.710606296451
Fresh fruit basket,2016,Farm-value share-Percent,37.258372517994
Fresh fruit basket,2017,Retail cost-2018 = 100,98.9685188785415
Fresh fruit basket,2017,Farm value-2018 = 100,111.708673123643
Fresh fruit basket,2017,Farm-to-retail spread-2018 = 100,92.3941831078673
Fresh fruit basket,2017,Farm-value share-Percent,38.420097091576
Fresh fruit basket,2018,Retail cost-2018 = 100,100
Fresh fruit basket,2018,Farm value-2018 = 100,100
Fresh fruit basket,2018,Farm-to-retail spread-2018 = 100,100
Fresh fruit basket,2018,Farm-value share-Percent,34.0383606572288
Fresh fruit basket,2019,Retail cost-2018 = 100,98.5974923535677
Fresh fruit basket,2019,Farm value-2018 = 100,101.009957562215
Fresh fruit basket,2019,Farm-to-retail spread-2018 = 100,97.3525814983623
Fresh fruit basket,2019,Farm-value share-Percent,34.8712049708599
Fresh fruit basket,2020,Retail cost-2018 = 100,97.7697335454528
Fresh fruit basket,2020,Farm value-2018 = 100,110.129760757099
Fresh fruit basket,2020,Farm-to-retail spread-2018 = 100,91.3915557415793
Fresh fruit basket,2020,Farm-value share-Percent,38.3414823770766
Fresh fruit basket,2021,Retail cost-2018 = 100,103.099372130021
Fresh fruit basket,2021,Farm value-2018 = 100,113.557351011089
Fresh fruit basket,2021,Farm-to-retail spread-2018 = 100,97.7027133985773
Fresh fruit basket,2021,Farm-value share-Percent,37.4910728274888
Fresh fruit basket,2022,Retail cost-2018 = 100,111.25565781223
Fresh fruit basket,2022,Farm value-2018 = 100,128.351426171144
Fresh fruit basket,2022,Farm-to-retail spread-2018 = 100,102.433682874809
Fresh fruit basket,2022,Farm-value share-Percent,39.2687636817226
