Commodity,Year,Attribute,Value
"Fresh lettuce, iceberg",1992,Retail-Price (cents/lb),57.675
"Fresh lettuce, iceberg",1992,Farm-Price (cents/lb),12.52166667
"Fresh lettuce, iceberg",1992,Farm share-Percent,23.34487682
"Fresh lettuce, iceberg",1993,Retail-Price (cents/lb),65.59166667
"Fresh lettuce, iceberg",1993,Farm-Price (cents/lb),15.59833333
"Fresh lettuce, iceberg",1993,Farm share-Percent,25.57093345
"Fresh lettuce, iceberg",1994,Retail-Price (cents/lb),60.76666667
"Fresh lettuce, iceberg",1994,Farm-Price (cents/lb),15.56833333
"Fresh lettuce, iceberg",1994,Farm share-Percent,27.54823374
"Fresh lettuce, iceberg",1995,Retail-Price (cents/lb),80.125
"Fresh lettuce, iceberg",1995,Farm-Price (cents/lb),21.235
"Fresh lettuce, iceberg",1995,Farm share-Percent,28.49713989
"Fresh lettuce, iceberg",1996,Retail-Price (cents/lb),64.775
"Fresh lettuce, iceberg",1996,Farm-Price (cents/lb),14.68916667
"Fresh lettuce, iceberg",1996,Farm share-Percent,24.38410323
"Fresh lettuce, iceberg",1997,Retail-Price (cents/lb),69.4
"Fresh lettuce, iceberg",1997,Farm-Price (cents/lb),18.60666667
"Fresh lettuce, iceberg",1997,Farm share-Percent,28.828773
"Fresh lettuce, iceberg",1998,Retail-Price (cents/lb),75.66666667
"Fresh lettuce, iceberg",1998,Farm-Price (cents/lb),15.49166667
"Fresh lettuce, iceberg",1998,Farm share-Percent,22.01458955
"Fresh lettuce, iceberg",1999,Retail-Price (cents/lb),67.44166667
"Fresh lettuce, iceberg",1999,Farm-Price (cents/lb),13.79166667
"Fresh lettuce, iceberg",1999,Farm share-Percent,21.98900151
"Fresh lettuce, iceberg",2000,Retail-Price (cents/lb),73.59166667
"Fresh lettuce, iceberg",2000,Farm-Price (cents/lb),17.47333333
"Fresh lettuce, iceberg",2000,Farm share-Percent,25.53078537
"Fresh lettuce, iceberg",2001,Retail-Price (cents/lb),79.28333333
"Fresh lettuce, iceberg",2001,Farm-Price (cents/lb),18.83333333
"Fresh lettuce, iceberg",2001,Farm share-Percent,25.54243774
"Fresh lettuce, iceberg",2002,Retail-Price (cents/lb),86.11666667
"Fresh lettuce, iceberg",2002,Farm-Price (cents/lb),22.23333333
"Fresh lettuce, iceberg",2002,Farm share-Percent,27.76095611
"Fresh lettuce, iceberg",2003,Retail-Price (cents/lb),82.3
"Fresh lettuce, iceberg",2003,Farm-Price (cents/lb),21.08333333
"Fresh lettuce, iceberg",2003,Farm share-Percent,27.54586986
"Fresh lettuce, iceberg",2004,Retail-Price (cents/lb),79.78333333
"Fresh lettuce, iceberg",2004,Farm-Price (cents/lb),14.97
"Fresh lettuce, iceberg",2004,Farm share-Percent,20.17561002
"Fresh lettuce, iceberg",2005,Retail-Price (cents/lb),87.01666667
"Fresh lettuce, iceberg",2005,Farm-Price (cents/lb),15.7
"Fresh lettuce, iceberg",2005,Farm share-Percent,19.40055977
"Fresh lettuce, iceberg",2006,Retail-Price (cents/lb),86.55
"Fresh lettuce, iceberg",2006,Farm-Price (cents/lb),17.1
"Fresh lettuce, iceberg",2006,Farm share-Percent,21.24447923
"Fresh lettuce, iceberg",2007,Retail-Price (cents/lb),92.83333333
"Fresh lettuce, iceberg",2007,Farm-Price (cents/lb),21.9
"Fresh lettuce, iceberg",2007,Farm share-Percent,25.36630567
"Fresh lettuce, iceberg",2008,Retail-Price (cents/lb),90.53333333
"Fresh lettuce, iceberg",2008,Farm-Price (cents/lb),20.175
"Fresh lettuce, iceberg",2008,Farm share-Percent,23.96194594
"Fresh lettuce, iceberg",2009,Retail-Price (cents/lb),91.33333333
"Fresh lettuce, iceberg",2009,Farm-Price (cents/lb),24.68333333
"Fresh lettuce, iceberg",2009,Farm share-Percent,29.05972844
"Fresh lettuce, iceberg",2010,Retail-Price (cents/lb),87.46666667
"Fresh lettuce, iceberg",2010,Farm-Price (cents/lb),21.73333333
"Fresh lettuce, iceberg",2010,Farm share-Percent,26.7178075
"Fresh lettuce, iceberg",2011,Retail-Price (cents/lb),98.88333333
"Fresh lettuce, iceberg",2011,Farm-Price (cents/lb),24.325
"Fresh lettuce, iceberg",2011,Farm share-Percent,26.45128668
"Fresh lettuce, iceberg",2012,Retail-Price (cents/lb),85.7
"Fresh lettuce, iceberg",2012,Farm-Price (cents/lb),16.94166667
"Fresh lettuce, iceberg",2012,Farm share-Percent,21.25652961
"Fresh lettuce, iceberg",2013,Retail-Price (cents/lb),101.4636364
"Fresh lettuce, iceberg",2013,Farm-Price (cents/lb),26.7
"Fresh lettuce, iceberg",2013,Farm share-Percent,28.2955337
"Fresh lettuce, iceberg",2014,Retail-Price (cents/lb),105.275
"Fresh lettuce, iceberg",2014,Farm-Price (cents/lb),29.94444444
"Fresh lettuce, iceberg",2014,Farm share-Percent,30.58497018
"Fresh lettuce, iceberg",2015,Retail-Price (cents/lb),116.15
"Fresh lettuce, iceberg",2015,Farm-Price (cents/lb),33.4
"Fresh lettuce, iceberg",2015,Farm share-Percent,30.92034309
"Fresh lettuce, iceberg",2016,Retail-Price (cents/lb),106.3583333
"Fresh lettuce, iceberg",2016,Farm-Price (cents/lb),25.2
"Fresh lettuce, iceberg",2016,Farm share-Percent,25.47686988
"Fresh lettuce, iceberg",2017,Retail-Price (cents/lb),102.9333333
"Fresh lettuce, iceberg",2017,Farm-Price (cents/lb),36.6
"Fresh lettuce, iceberg",2017,Farm share-Percent,38.23332776
"Fresh lettuce, iceberg",2018,Retail-Price (cents/lb),94.4
"Fresh lettuce, iceberg",2018,Farm-Price (cents/lb),36.225
"Fresh lettuce, iceberg",2018,Farm share-Percent,41.2623018
"Fresh lettuce, iceberg",2019,Retail-Price (cents/lb),118.4333333
"Fresh lettuce, iceberg",2019,Farm-Price (cents/lb),37.76666667
"Fresh lettuce, iceberg",2019,Farm share-Percent,34.28875795
