Commodity,Year,Attribute,Value
Fresh peaches,1992,Retail-Price (cents/lb),89.44
Fresh peaches,1992,Farm-Price (cents/lb),21.2
Fresh peaches,1992,Farm share-Percent,25.21600122
Fresh peaches,1993,Retail-Price (cents/lb),94.84
Fresh peaches,1993,Farm-Price (cents/lb),22.1
Fresh peaches,1993,Farm share-Percent,24.78979154
Fresh peaches,1994,Retail-Price (cents/lb),94.86
Fresh peaches,1994,Farm-Price (cents/lb),18.8
Fresh peaches,1994,Farm share-Percent,21.0837023
Fresh peaches,1995,Retail-Price (cents/lb),109
Fresh peaches,1995,Farm-Price (cents/lb),26
Fresh peaches,1995,Farm share-Percent,25.37575639
Fresh peaches,1996,Retail-Price (cents/lb),117.625
Fresh peaches,1996,Farm-Price (cents/lb),33.1
Fresh peaches,1996,Farm share-Percent,29.93646415
Fresh peaches,1997,Retail-Price (cents/lb),104.725
Fresh peaches,1997,Farm-Price (cents/lb),24.4
Fresh peaches,1997,Farm share-Percent,24.7862944
Fresh peaches,1998,Retail-Price (cents/lb),135.68
Fresh peaches,1998,Farm-Price (cents/lb),30.1
Fresh peaches,1998,Farm share-Percent,23.60058711
Fresh peaches,1999,Retail-Price (cents/lb),142.8
Fresh peaches,1999,Farm-Price (cents/lb),28.6
Fresh peaches,1999,Farm share-Percent,21.3063949
Fresh peaches,2000,Retail-Price (cents/lb),135.23
Fresh peaches,2000,Farm-Price (cents/lb),27.6
Fresh peaches,2000,Farm share-Percent,21.71241746
Fresh peaches,2001,Retail-Price (cents/lb),148.58
Fresh peaches,2001,Farm-Price (cents/lb),30.7
Fresh peaches,2001,Farm share-Percent,21.98113775
Fresh peaches,2002,Retail-Price (cents/lb),151.65
Fresh peaches,2002,Farm-Price (cents/lb),30.6
Fresh peaches,2002,Farm share-Percent,21.46600164
Fresh peaches,2003,Retail-Price (cents/lb),146.95
Fresh peaches,2003,Farm-Price (cents/lb),29.05
Fresh peaches,2003,Farm share-Percent,21.03045615
Fresh peaches,2004,Retail-Price (cents/lb),142.2
Fresh peaches,2004,Farm-Price (cents/lb),27.4
Fresh peaches,2004,Farm share-Percent,20.49854864
Fresh peaches,2005,Retail-Price (cents/lb),158.3833333
Fresh peaches,2005,Farm-Price (cents/lb),35.9
Fresh peaches,2005,Farm share-Percent,24.11332591
Fresh peaches,2006,Retail-Price (cents/lb),163.6666667
Fresh peaches,2006,Farm-Price (cents/lb),38.95
Fresh peaches,2006,Farm share-Percent,25.31741561
Fresh peaches,2007,Retail-Price (cents/lb),156.2666667
Fresh peaches,2007,Farm-Price (cents/lb),32.34
Fresh peaches,2007,Farm share-Percent,22.01637499
Fresh peaches,2008,Retail-Price (cents/lb),164.1333333
Fresh peaches,2008,Farm-Price (cents/lb),29.6
Fresh peaches,2008,Farm share-Percent,19.18523256
Fresh peaches,2009,Retail-Price (cents/lb),163.14
Fresh peaches,2009,Farm-Price (cents/lb),36.15
Fresh peaches,2009,Farm share-Percent,23.57327866
Fresh peaches,2010,Retail-Price (cents/lb),175.2
Fresh peaches,2010,Farm-Price (cents/lb),33.14
Fresh peaches,2010,Farm share-Percent,20.12289906
Fresh peaches,2011,Retail-Price (cents/lb),164.275
Fresh peaches,2011,Farm-Price (cents/lb),38.88
Fresh peaches,2011,Farm share-Percent,25.17833032
Fresh peaches,2012,Retail-Price (cents/lb),172.8666667
Fresh peaches,2012,Farm-Price (cents/lb),47.66
Fresh peaches,2012,Farm share-Percent,29.3301934
Fresh peaches,2013,Retail-Price (cents/lb),167.375
Fresh peaches,2013,Farm-Price (cents/lb),
Fresh peaches,2013,Farm share-Percent,
Fresh peaches,2014,Retail-Price (cents/lb),194.2
Fresh peaches,2014,Farm-Price (cents/lb),55.925
Fresh peaches,2014,Farm share-Percent,30.63577799
Fresh peaches,2015,Retail-Price (cents/lb),180.825
Fresh peaches,2015,Farm-Price (cents/lb),54.12
Fresh peaches,2015,Farm share-Percent,31.83988281
Fresh peaches,2016,Retail-Price (cents/lb),178.2
Fresh peaches,2016,Farm-Price (cents/lb),58.43
Fresh peaches,2016,Farm share-Percent,34.88191609
Fresh peaches,2017,Retail-Price (cents/lb),202
Fresh peaches,2017,Farm-Price (cents/lb),68.75
Fresh peaches,2017,Farm share-Percent,36.20707815
Fresh peaches,2018,Retail-Price (cents/lb),207.875
Fresh peaches,2018,Farm-Price (cents/lb),53.725
Fresh peaches,2018,Farm share-Percent,27.49453052
Fresh peaches,2019,Retail-Price (cents/lb),206.75
Fresh peaches,2019,Farm-Price (cents/lb),60.81
Fresh peaches,2019,Farm share-Percent,31.28971674
