Commodity,Year,Attribute,Value
Fresh pears,1989,Retail-Price (cents/lb),73.25714286
Fresh pears,1989,Farm-Price (cents/lb),17.65
Fresh pears,1989,Farm share-Percent,25.36127761
Fresh pears,1990,Retail-Price (cents/lb),76.3
Fresh pears,1990,Farm-Price (cents/lb),18.5125
Fresh pears,1990,Farm share-Percent,25.53976685
Fresh pears,1991,Retail-Price (cents/lb),83.98571429
Fresh pears,1991,Farm-Price (cents/lb),21.00416667
Fresh pears,1991,Farm share-Percent,26.32548798
Fresh pears,1992,Retail-Price (cents/lb),82.62857143
Fresh pears,1992,Farm-Price (cents/lb),18.84090909
Fresh pears,1992,Farm share-Percent,24.00203167
Fresh pears,1993,Retail-Price (cents/lb),85.82857143
Fresh pears,1993,Farm-Price (cents/lb),19.71666667
Fresh pears,1993,Farm share-Percent,24.18120868
Fresh pears,1994,Retail-Price (cents/lb),78.73333333
Fresh pears,1994,Farm-Price (cents/lb),10.64166667
Fresh pears,1994,Farm share-Percent,14.22746112
Fresh pears,1995,Retail-Price (cents/lb),77.4
Fresh pears,1995,Farm-Price (cents/lb),18.35833333
Fresh pears,1995,Farm share-Percent,24.9671336
Fresh pears,1996,Retail-Price (cents/lb),91.56
Fresh pears,1996,Farm-Price (cents/lb),21.5125
Fresh pears,1996,Farm share-Percent,24.73212849
Fresh pears,1997,Retail-Price (cents/lb),98.53333333
Fresh pears,1997,Farm-Price (cents/lb),16.45
Fresh pears,1997,Farm share-Percent,17.57353465
Fresh pears,1998,Retail-Price (cents/lb),93.3
Fresh pears,1998,Farm-Price (cents/lb),18.75
Fresh pears,1998,Farm share-Percent,21.1541716
Fresh pears,1999,Retail-Price (cents/lb),95
Fresh pears,1999,Farm-Price (cents/lb),19.4
Fresh pears,1999,Farm share-Percent,21.49584488
Fresh pears,2000,Retail-Price (cents/lb),98.6
Fresh pears,2000,Farm-Price (cents/lb),16.05
Fresh pears,2000,Farm share-Percent,17.13462154
Fresh pears,2001,Retail-Price (cents/lb),96.57142857
Fresh pears,2001,Farm-Price (cents/lb),16.7
Fresh pears,2001,Farm share-Percent,18.20305201
Fresh pears,2002,Retail-Price (cents/lb),99.66
Fresh pears,2002,Farm-Price (cents/lb),18.05
Fresh pears,2002,Farm share-Percent,19.06482039
Fresh pears,2003,Retail-Price (cents/lb),
Fresh pears,2003,Farm-Price (cents/lb),
Fresh pears,2003,Farm share-Percent,
Fresh pears,2004,Retail-Price (cents/lb),
Fresh pears,2004,Farm-Price (cents/lb),
Fresh pears,2004,Farm share-Percent,
Fresh pears,2005,Retail-Price (cents/lb),111.4222222
Fresh pears,2005,Farm-Price (cents/lb),24.60416667
Fresh pears,2005,Farm share-Percent,23.24412697
Fresh pears,2006,Retail-Price (cents/lb),113.3125
Fresh pears,2006,Farm-Price (cents/lb),23.09166667
Fresh pears,2006,Farm share-Percent,21.45131168
Fresh pears,2007,Retail-Price (cents/lb),127.3
Fresh pears,2007,Farm-Price (cents/lb),26.2
Fresh pears,2007,Farm share-Percent,21.66453053
Fresh pears,2008,Retail-Price (cents/lb),133.1444444
Fresh pears,2008,Farm-Price (cents/lb),27.5
Fresh pears,2008,Farm share-Percent,21.74132653
Fresh pears,2009,Retail-Price (cents/lb),133.1578947
Fresh pears,2009,Farm-Price (cents/lb),22.4
Fresh pears,2009,Farm share-Percent,17.70750988
Fresh pears,2010,Retail-Price (cents/lb),130.4210526
Fresh pears,2010,Farm-Price (cents/lb),30.1
Fresh pears,2010,Farm share-Percent,24.29378531
Fresh pears,2011,Retail-Price (cents/lb),140.8421053
Fresh pears,2011,Farm-Price (cents/lb),22.6
Fresh pears,2011,Farm share-Percent,16.89088191
Fresh pears,2012,Retail-Price (cents/lb),125.2631579
Fresh pears,2012,Farm-Price (cents/lb),34.8
Fresh pears,2012,Farm share-Percent,29.24369748
Fresh pears,2013,Retail-Price (cents/lb),
Fresh pears,2013,Farm-Price (cents/lb),
Fresh pears,2013,Farm share-Percent,
Fresh pears,2014,Retail-Price (cents/lb),
Fresh pears,2014,Farm-Price (cents/lb),32.7
Fresh pears,2014,Farm share-Percent,
Fresh pears,2015,Retail-Price (cents/lb),
Fresh pears,2015,Farm-Price (cents/lb),38
Fresh pears,2015,Farm share-Percent,
Fresh pears,2016,Retail-Price (cents/lb),167.3684211
Fresh pears,2016,Farm-Price (cents/lb),40.6
Fresh pears,2016,Farm share-Percent,25.53459119
Fresh pears,2017,Retail-Price (cents/lb),160.2105263
Fresh pears,2017,Farm-Price (cents/lb),38.3
Fresh pears,2017,Farm share-Percent,25.16425756
Fresh pears,2018,Retail-Price (cents/lb),157.8947368
Fresh pears,2018,Farm-Price (cents/lb),36.2
Fresh pears,2018,Farm share-Percent,24.13333333
Fresh pears,2019,Retail-Price (cents/lb),160.3157895
Fresh pears,2019,Farm-Price (cents/lb),32.75
Fresh pears,2019,Farm share-Percent,21.50361129
