Commodity,Year,Attribute,Value
Fresh potatoes,1992,Retail-Price (cents/pound),30.45
Fresh potatoes,1992,Farm-Price (cents/pound),5.01083333333333
Fresh potatoes,1992,Farm share-Percent,17.1416028097063
Fresh potatoes,1993,Retail-Price (cents/pound),34.8416666666667
Fresh potatoes,1993,Farm-Price (cents/pound),7.47666666666667
Fresh potatoes,1993,Farm share-Percent,22.3531053177071
Fresh potatoes,1994,Retail-Price (cents/pound),37.4
Fresh potatoes,1994,Farm-Price (cents/pound),7.38
Fresh potatoes,1994,Farm share-Percent,20.5548128342246
Fresh potatoes,1995,Retail-Price (cents/pound),37.9333333333333
Fresh potatoes,1995,Farm-Price (cents/pound),7.68
Fresh potatoes,1995,Farm share-Percent,21.0896309314587
Fresh potatoes,1996,Retail-Price (cents/pound),38.1
Fresh potatoes,1996,Farm-Price (cents/pound),7.53
Fresh potatoes,1996,Farm share-Percent,20.5872703412074
Fresh potatoes,1997,Retail-Price (cents/pound),35.5583333333333
Fresh potatoes,1997,Farm-Price (cents/pound),5.52
Fresh potatoes,1997,Farm share-Percent,16.1706116709632
Fresh potatoes,1998,Retail-Price (cents/pound),37.55
Fresh potatoes,1998,Farm-Price (cents/pound),6.5
Fresh potatoes,1998,Farm share-Percent,18.0315135375055
Fresh potatoes,1999,Retail-Price (cents/pound),39.425
Fresh potatoes,1999,Farm-Price (cents/pound),7.61
Fresh potatoes,1999,Farm share-Percent,20.1067427605157
Fresh potatoes,2000,Retail-Price (cents/pound),37.9833333333333
Fresh potatoes,2000,Farm-Price (cents/pound),6.44
Fresh potatoes,2000,Farm share-Percent,17.6612549363756
Fresh potatoes,2001,Retail-Price (cents/pound),39
Fresh potatoes,2001,Farm-Price (cents/pound),7.84
Fresh potatoes,2001,Farm share-Percent,20.9401709401709
Fresh potatoes,2002,Retail-Price (cents/pound),49.325
Fresh potatoes,2002,Farm-Price (cents/pound),12.3
Fresh potatoes,2002,Farm share-Percent,25.9756715661429
Fresh potatoes,2003,Retail-Price (cents/pound),45.85
Fresh potatoes,2003,Farm-Price (cents/pound),7.88
Fresh potatoes,2003,Farm share-Percent,17.9025808796801
Fresh potatoes,2004,Retail-Price (cents/pound),45.3583333333333
Fresh potatoes,2004,Farm-Price (cents/pound),6.92
Fresh potatoes,2004,Farm share-Percent,15.8919713393349
Fresh potatoes,2005,Retail-Price (cents/pound),47.125
Fresh potatoes,2005,Farm-Price (cents/pound),9.18416666666666
Fresh potatoes,2005,Farm share-Percent,20.3009873268494
Fresh potatoes,2006,Retail-Price (cents/pound),53.3666666666667
Fresh potatoes,2006,Farm-Price (cents/pound),11.18
Fresh potatoes,2006,Farm share-Percent,21.8222985633979
Fresh potatoes,2007,Retail-Price (cents/pound),52.475
Fresh potatoes,2007,Farm-Price (cents/pound),9.90333333333333
Fresh potatoes,2007,Farm share-Percent,19.6588322481605
Fresh potatoes,2008,Retail-Price (cents/pound),63.0916666666667
Fresh potatoes,2008,Farm-Price (cents/pound),15.435
Fresh potatoes,2008,Farm share-Percent,25.4837537973848
Fresh potatoes,2009,Retail-Price (cents/pound),62.1833333333333
Fresh potatoes,2009,Farm-Price (cents/pound),11.1325
Fresh potatoes,2009,Farm share-Percent,18.6486531760922
Fresh potatoes,2010,Retail-Price (cents/pound),57.7
Fresh potatoes,2010,Farm-Price (cents/pound),9.01333333333333
Fresh potatoes,2010,Farm share-Percent,16.2719044868092
Fresh potatoes,2011,Retail-Price (cents/pound),67.6916666666667
