Commodity,Year,Attribute,Value
"Sugar, white, per pound",2000,Retail price-Dollars,0.424083333333333
"Sugar, white, per pound",2000,Farm value-Dollars,0.111497898600375
"Sugar, white, per pound",2000,Farm share-Percent,26.2915068422972
"Sugar, white, per pound",2001,Retail price-Dollars,0.434166666666667
"Sugar, white, per pound",2001,Farm value-Dollars,0.120909397899211
"Sugar, white, per pound",2001,Farm share-Percent,27.8486137195879
"Sugar, white, per pound",2002,Retail price-Dollars,0.431
"Sugar, white, per pound",2002,Farm value-Dollars,0.124484705149971
"Sugar, white, per pound",2002,Farm share-Percent,28.8827622157706
"Sugar, white, per pound",2003,Retail price-Dollars,0.42675
"Sugar, white, per pound",2003,Farm value-Dollars,0.121727830890301
"Sugar, white, per pound",2003,Farm share-Percent,28.5243891951495
"Sugar, white, per pound",2004,Retail price-Dollars,0.426416666666667
"Sugar, white, per pound",2004,Farm value-Dollars,0.117181640676837
"Sugar, white, per pound",2004,Farm share-Percent,27.4805489177651
"Sugar, white, per pound",2005,Retail price-Dollars,0.435416666666667
"Sugar, white, per pound",2005,Farm value-Dollars,0.128386094596366
"Sugar, white, per pound",2005,Farm share-Percent,29.4858016297873
"Sugar, white, per pound",2006,Retail price-Dollars,0.495833333333333
"Sugar, white, per pound",2006,Farm value-Dollars,0.135656244856033
"Sugar, white, per pound",2006,Farm share-Percent,27.3592426600402
"Sugar, white, per pound",2007,Retail price-Dollars,0.51475
"Sugar, white, per pound",2007,Farm value-Dollars,0.127335367170684
"Sugar, white, per pound",2007,Farm share-Percent,24.737322422668
"Sugar, white, per pound",2008,Retail price-Dollars,0.529
"Sugar, white, per pound",2008,Farm value-Dollars,0.136383640965719
"Sugar, white, per pound",2008,Farm share-Percent,25.7814066097768
"Sugar, white, per pound",2009,Retail price-Dollars,0.570333333333333
"Sugar, white, per pound",2009,Farm value-Dollars,0.160058583783894
"Sugar, white, per pound",2009,Farm share-Percent,28.0640415752007
"Sugar, white, per pound",2010,Retail price-Dollars,0.628583333333333
"Sugar, white, per pound",2010,Farm value-Dollars,0.192047102104213
"Sugar, white, per pound",2010,Farm share-Percent,30.5523694186737
"Sugar, white, per pound",2011,Retail price-Dollars,0.683
"Sugar, white, per pound",2011,Farm value-Dollars,0.201576897943183
"Sugar, white, per pound",2011,Farm share-Percent,29.5134550429258
"Sugar, white, per pound",2012,Retail price-Dollars,0.694083333333333
"Sugar, white, per pound",2012,Farm value-Dollars,0.188072999178264
"Sugar, white, per pound",2012,Farm share-Percent,27.0966021147696
"Sugar, white, per pound",2013,Retail price-Dollars,0.643166666666667
"Sugar, white, per pound",2013,Farm value-Dollars,0.143837741427929
"Sugar, white, per pound",2013,Farm share-Percent,22.3639919297117
"Sugar, white, per pound",2014,Retail price-Dollars,0.609
"Sugar, white, per pound",2014,Farm value-Dollars,0.142171461361152
"Sugar, white, per pound",2014,Farm share-Percent,23.3450675469871
"Sugar, white, per pound",2015,Retail price-Dollars,0.653583333333333
"Sugar, white, per pound",2015,Farm value-Dollars,0.141510768494553
"Sugar, white, per pound",2015,Farm share-Percent,21.65152648138
"Sugar, white, per pound",2016,Retail price-Dollars,0.641916666666667
"Sugar, white, per pound",2016,Farm value-Dollars,0.127956963873154
"Sugar, white, per pound",2016,Farm share-Percent,19.9335786898331
"Sugar, white, per pound",2017,Retail price-Dollars,0.647583333333333
"Sugar, white, per pound",2017,Farm value-Dollars,0.12683109487777
"Sugar, white, per pound",2017,Farm share-Percent,19.5852932509747
"Sugar, white, per pound",2018,Retail price-Dollars,0.61625
"Sugar, white, per pound",2018,Farm value-Dollars,0.124421374041062
"Sugar, white, per pound",2018,Farm share-Percent,20.190080980294
"Sugar, white, per pound",2019,Retail price-Dollars,0.590083333333333
"Sugar, white, per pound",2019,Farm value-Dollars,0.139285845719916
"Sugar, white, per pound",2019,Farm share-Percent,23.604436501045
"Sugar, white, per pound",2020,Retail price-Dollars,0.633583333333333
"Sugar, white, per pound",2020,Farm value-Dollars,0.162449963299595
"Sugar, white, per pound",2020,Farm share-Percent,25.6398732026192
"Sugar, white, per pound",2021,Retail price-Dollars,0.684
"Sugar, white, per pound",2021,Farm value-Dollars,0.180383078477058
"Sugar, white, per pound",2021,Farm share-Percent,26.3717950989851
"Sugar, white, per pound",2022,Retail price-Dollars,0.783166666666666
"Sugar, white, per pound",2022,Farm value-Dollars,0.196589249557794
"Sugar, white, per pound",2022,Farm share-Percent,25.1018407607313
