Year,Attribute,Value
1948,"Total output: Price (index, 2015=1)",0.291914591
1948,"Total output: Quantity (million, $2015)",146514.353
1948,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.267054777
1948,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",71796.74236
1948,"Livestock and products: Meat animals: Price (index, 2015=1)",0.185527961
1948,"Livestock and products: Meat animals: Quantity (million, $2015)",44354.36876
1948,"Livestock and products: Dairy: Price (index, 2015=1)",0.273236291
1948,"Livestock and products: Dairy: Quantity (million, $2015)",16063.01996
1948,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.607328909
1948,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",6341.652679
1948,"Crops: All crops: Price (index, 2015=1)",0.321163399
1948,"Crops: All crops: Quantity (million, $2015)",71612.70704
1948,"Crops: Food grains: Price (index, 2015=1)",0.445233631
1948,"Crops: Food grains: Quantity (million, $2015)",7015.583911
1948,"Crops: Feed crops: Price (index, 2015=1)",0.343777657
1948,"Crops: Feed crops: Quantity (million, $2015)",30488.01707
1948,"Crops: Oil crops: Price (index, 2015=1)",0.332809125
1948,"Crops: Oil crops: Quantity (million, $2015)",4490.347837
1948,"Crops: Vegetables and melons: Price (index, 2015=1)",0.211695855
1948,"Crops: Vegetables and melons: Quantity (million, $2015)",8087.073791
1948,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.129268603
1948,"Crops: Fruits and tree nuts: Quantity (million, $2015)",8726.016757
1948,"Crops: Other crops 2/: Price (index, 2015=1)",0.343873723
1948,"Crops: Other crops 2/: Quantity (million, $2015)",12720.59609
1948,"Farm-related output 3/: Price (index, 2015=1)",0.092575789
1948,"Farm-related output 3/: Quantity (million, $2015)",6444.816785
1948,"Total farm inputs: Price (index, 2015=1)",0.108014637
1948,"Total farm inputs: Quantity (million, $2015)",395961.8664
1948,"Capital: All capital: Price (index, 2015=1)",0.131368723
1948,"Capital: All capital: Quantity (million, $2015)",121610.254
1948,"Capital: Durable equipment: Price (index, 2015=1)",0.087283055
1948,"Capital: Durable equipment: Quantity (million, $2015)",13070.03156
1948,"Capital: Service buildings: Price (index, 2015=1)",0.070572488
1948,"Capital: Service buildings: Quantity (million, $2015)",4897.271553
1948,"Capital: Land: Price (index, 2015=1)",0.152548209
1948,"Capital: Land: Quantity (million, $2015)",94458.60924
1948,"Capital: Inventories: Price (index, 2015=1)",0.024911002
1948,"Capital: Inventories: Quantity (million, $2015)",3206.905691
1948,"Labor: All labor: Price (index, 2015=1)",0.036017279
1948,"Labor: All labor: Quantity (million, $2015)",291283.931
1948,"Labor: Hired labor: Price (index, 2015=1)",0.036937608
1948,"Labor: Hired labor: Quantity (million, $2015)",81395.51033
1948,"Labor: Self-employed and unpaid family workers: Price (index, 2015=1)",0.035487479
1948,"Labor: Self-employed and unpaid family workers: Quantity (million, $2015)",210910.9855
1948,"Intermediate inputs: All intermediate inputs: Price (index, 2015=1)",0.159834584
1948,"Intermediate inputs: All intermediate inputs: Quantity (million, $2015)",101996.9431
1948,"Intermediate inputs: Feed and seed: Price (index, 2015=1)",0.230506002
1948,"Intermediate inputs: Feed and seed: Quantity (million, $2015)",50578.49776
1948,"Intermediate inputs: Energy: Price (index, 2015=1)",0.052674257
1948,"Intermediate inputs: Energy: Quantity (million, $2015)",20541.18599
1948,"Intermediate inputs: Fertilizer and lime: Price (index, 2015=1)",0.108950005
1948,"Intermediate inputs: Fertilizer and lime: Quantity (million, $2015)",7581.459025
1948,"Intermediate inputs: Pesticides: Price (index, 2015=1)",0.49686202
1948,"Intermediate inputs: Pesticides: Quantity (million, $2015)",237.4904807
1948,"Intermediate inputs: Purchased services: Price (index, 2015=1)",0.090889977
1948,"Intermediate inputs: Purchased services: Quantity (million, $2015)",26814.05675
1948,"Intermediate inputs: Other intermediate inputs: Price (index, 2015=1)",0.089047287
1948,"Intermediate inputs: Other intermediate inputs: Quantity (million, $2015)",2031.179302
1949,"Total output: Price (index, 2015=1)",0.257094028
1949,"Total output: Quantity (million, $2015)",144262.4514
1949,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.225967751
1949,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",72294.38408
1949,"Livestock and products: Meat animals: Price (index, 2015=1)",0.158814998
1949,"Livestock and products: Meat animals: Quantity (million, $2015)",45932.89463
1949,"Livestock and products: Dairy: Price (index, 2015=1)",0.2233293
1949,"Livestock and products: Dairy: Quantity (million, $2015)",16782.54491
1949,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.51840302
1949,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",7262.20885
1949,"Crops: All crops: Price (index, 2015=1)",0.290873582
1949,"Crops: All crops: Quantity (million, $2015)",69312.25658
1949,"Crops: Food grains: Price (index, 2015=1)",0.430402742
1949,"Crops: Food grains: Quantity (million, $2015)",6025.809274
1949,"Crops: Feed crops: Price (index, 2015=1)",0.311171012
1949,"Crops: Feed crops: Quantity (million, $2015)",28034.07504
1949,"Crops: Oil crops: Price (index, 2015=1)",0.276304375
1949,"Crops: Oil crops: Quantity (million, $2015)",4294.471577
1949,"Crops: Vegetables and melons: Price (index, 2015=1)",0.176433239
1949,"Crops: Vegetables and melons: Quantity (million, $2015)",9159.271847
