Commodity,Year,Attribute,Value
Fresh vegetables basket,2010,Retail cost-2018 = 100,94.0636865005681
Fresh vegetables basket,2010,Farm value-2018 = 100,101.272971248119
Fresh vegetables basket,2010,Farm-to-retail spread-2018 = 100,91.9229375455893
Fresh vegetables basket,2010,Farm-value share-Percent,24.6504085125441
Fresh vegetables basket,2011,Retail cost-2018 = 100,99.3166988455628
Fresh vegetables basket,2011,Farm value-2018 = 100,94.4832732490654
Fresh vegetables basket,2011,Farm-to-retail spread-2018 = 100,100.751952293998
Fresh vegetables basket,2011,Farm-value share-Percent,21.781371335007
Fresh vegetables basket,2012,Retail cost-2018 = 100,94.2644581782125
Fresh vegetables basket,2012,Farm value-2018 = 100,83.9983593438844
Fresh vegetables basket,2012,Farm-to-retail spread-2018 = 100,97.3129076598014
Fresh vegetables basket,2012,Farm-value share-Percent,20.4021244464619
Fresh vegetables basket,2013,Retail cost-2018 = 100,98.6925206391437
Fresh vegetables basket,2013,Farm value-2018 = 100,105.546204583575
Fresh vegetables basket,2013,Farm-to-retail spread-2018 = 100,96.6573649675937
Fresh vegetables basket,2013,Farm-value share-Percent,24.4856109108483
Fresh vegetables basket,2014,Retail cost-2018 = 100,97.4065965197523
Fresh vegetables basket,2014,Farm value-2018 = 100,95.8885171912717
Fresh vegetables basket,2014,Farm-to-retail spread-2018 = 100,97.8573800370941
Fresh vegetables basket,2014,Farm-value share-Percent,22.5388004367474
Fresh vegetables basket,2015,Retail cost-2018 = 100,98.9736625742501
Fresh vegetables basket,2015,Farm value-2018 = 100,106.149846629828
Fresh vegetables basket,2015,Farm-to-retail spread-2018 = 100,96.8427426486732
Fresh vegetables basket,2015,Farm-value share-Percent,24.5556985650264
Fresh vegetables basket,2016,Retail cost-2018 = 100,98.9884433112546
Fresh vegetables basket,2016,Farm value-2018 = 100,98.9361599888587
Fresh vegetables basket,2016,Farm-to-retail spread-2018 = 100,99.0039684946398
Fresh vegetables basket,2016,Farm-value share-Percent,22.8835352981547
Fresh vegetables basket,2017,Retail cost-2018 = 100,98.8837464241394
Fresh vegetables basket,2017,Farm value-2018 = 100,101.990126367044
Fresh vegetables basket,2017,Farm-to-retail spread-2018 = 100,97.9613276476026
Fresh vegetables basket,2017,Farm-value share-Percent,23.6148821202414
Fresh vegetables basket,2018,Retail cost-2018 = 100,100
Fresh vegetables basket,2018,Farm value-2018 = 100,100
Fresh vegetables basket,2018,Farm-to-retail spread-2018 = 100,100
Fresh vegetables basket,2018,Farm-value share-Percent,22.8956282200317
Fresh vegetables basket,2019,Retail cost-2018 = 100,103.803576322491
Fresh vegetables basket,2019,Farm value-2018 = 100,115.313889440185
Fresh vegetables basket,2019,Farm-to-retail spread-2018 = 100,100.385665719563
Fresh vegetables basket,2019,Farm-value share-Percent,25.4344217681473
Fresh vegetables basket,2020,Retail cost-2018 = 100,106.477965924243
Fresh vegetables basket,2020,Farm value-2018 = 100,119.398628844758
Fresh vegetables basket,2020,Farm-to-retail spread-2018 = 100,102.641261367092
Fresh vegetables basket,2020,Farm-value share-Percent,25.6739184701942
Fresh vegetables basket,2021,Retail cost-2018 = 100,107.68629117436
Fresh vegetables basket,2021,Farm value-2018 = 100,115.780241923256
Fresh vegetables basket,2021,Farm-to-retail spread-2018 = 100,105.282846558965
Fresh vegetables basket,2021,Farm-value share-Percent,24.6165166001312
Fresh vegetables basket,2022,Retail cost-2018 = 100,115.23616846345
Fresh vegetables basket,2022,Farm value-2018 = 100,140.945004992291
Fresh vegetables basket,2022,Farm-to-retail spread-2018 = 100,107.602101165507
Fresh vegetables basket,2022,Farm-value share-Percent,28.0035728088056
