Year,Value
1961,140000
1962,135000
1963,130000
1964,132290
1965,144600
1966,171044
1967,171606
1968,172632
1969,174000
1970,165460
1971,186451
1972,197071
1973,212840
1974,231805
1975,251750
1976,255617
1977,295953
1978,275451
1979,190937
1980,241794
1981,202800
1982,187100
1983,176400
1984,192000
1985,202000
1986,215000
1987,215000
1988,185700
1989,196000
1990,187300
1991,191400
1992,209000
1993,212000
1994,230000
1995,230000
1996,240000
1997,253000
1998,255000
1999,265000
2000,275000
2001,275000
2002,275000
2003,240000
2004,225000
2005,230000
2006,235000
2007,240000
2008,251130
2009,303570
2010,256520
2011,248000
2012,238000
2013,245000
2014,254000
2015,260251
2016,245134
2017,229371
2018,224027
2019,212857
2020,230141
2021,225239
2022,221955
2023,221826
