Year,Value
1961,634000
1962,563000
1963,480000
1964,542000
1965,592000
1966,592000
1967,618000
1968,630000
1969,660000
1970,700000
1971,750000
1972,780000
1973,820000
1974,860000
1975,880000
1976,900000
1977,906000
1978,774000
1979,565000
1980,599000
1981,586000
1982,569400
1983,599000
1984,613000
1985,620000
1986,624000
1987,666000
1988,634300
1989,625700
1990,622000
1991,631000
1992,635900
1993,659000
1994,662000
1995,654300
1996,696000
1997,701390
1998,723000
1999,749000
2000,767000
2001,763000
2002,753000
2003,679440
2004,656820
2005,686320
2006,703150
2007,710130
2008,694660
2009,679080
2010,670900
2011,655730
2012,654260
2013,646157
2014,671200
2015,685800
2016,646100
2017,646000
2018,594500
2019,564306
2020,607908
2021,592802
2022,582049
2023,583828
