Year,Value
1961,5100
1962,5200
1963,5300
1964,5400
1965,5500
1966,5500
1967,6500
1968,7000
1969,7500
1970,8500
1971,9000
1972,11060
1973,12540
1974,13000
1975,13000
1976,15700
1977,20000
1978,18300
1979,23300
1980,24200
1981,25000
1982,30000
1983,25000
1984,30000
1985,32000
1986,33000
1987,34000
1988,35300
1989,36400
1990,41100
1991,40600
1992,38000
1993,39000
1994,31300
1995,31500
1996,35573
1997,39856
1998,49669
1999,54669
2000,59399
2001,61417
2002,62000
2003,62000
2004,66000
2005,66000
2006,62000
2007,68000
2008,70000
2009,70000
2010,80000
2011,77000
2012,81000
2013,88000
2014,88000
2015,89556
2016,91222
2017,93032
2018,94983
2019,97024
2020,99392
2021,99276
2022,100586
2023,99635
