Year,Value
1961,550000
1962,500000
1963,460000
1964,428000
1965,475000
1966,527000
1967,490000
1968,480000
1969,390000
1970,630000
1971,920000
1972,1040000
1973,770000
1974,840000
1975,840000
1976,1052000
1977,1082000
1978,1013000
1979,755000
1980,922000
1981,788000
1982,916500
1983,1002000
1984,1069000
1985,1154000
1986,1047000
1987,1155000
1988,1097500
1989,1184200
1990,1279200
1991,1313100
1992,1350000
1993,1416780
1994,1351300
1995,1204900
1996,1468000
1997,1260670
1998,1232000
1999,1314800
2000,1447590
2001,1450000
2002,1449000
2003,1379000
2004,1411550
2005,1426640
2006,1497410
2007,1550650
2008,1496290
2009,1454640
2010,1295940
2011,1282080
2012,1272460
2013,1248180
2014,1248200
2015,1199500
2016,1184600
2017,1184600
2018,1197000
2019,1215434
2020,1201799
2021,1177646
2022,1164284
2023,1151380
