Year,Value
1961,23400
1962,22100
1963,23400
1964,25000
1965,26400
1966,27800
1967,25800
1968,21000
1969,24600
1970,18500
1971,20600
1972,22700
1973,28000
1974,25900
1975,30800
1976,31300
1977,29500
1978,24500
1979,20800
1980,24300
1981,24000
1982,25650
1983,32800
1984,33300
1985,38000
1986,36500
1987,38800
1988,42200
1989,38500
1990,39000
1991,39300
1992,39900
1993,42600
1994,43600
1995,45700
1996,47300
1997,46700
1998,50100
1999,52900
2000,54000
2001,55900
2002,58300
2003,51400
2004,52000
2005,53400
2006,55700
2007,56600
2008,51000
2009,49050
2010,50000
2011,50900
2012,47700
2013,48700
2014,49400
2015,49200
2016,49430
2017,51100
2018,52300
2019,54900
2020,55700
2021,59900
2022,59490
2023,57452.17
