Year,Value
1961,105000
1962,105000
1963,105000
1964,132000
1965,143000
1966,159000
1967,171000
1968,169000
1969,154000
1970,140000
1971,151400
1972,162200
1973,174600
1974,185900
1975,204900
1976,221638
1977,240354
1978,240900
1979,190570
1980,211800
1981,247000
1982,228000
1983,277000
1984,290000
1985,315000
1986,325000
1987,356000
1988,360000
1989,382600
1990,400500
1991,395000
1992,425000
1993,460000
1994,497000
1995,539000
1996,587000
1997,630000
1998,720000
1999,803000
2000,870000
2001,916000
2002,927000
2003,872000
2004,844000
2005,900000
2006,957000
2007,983000
2008,988000
2009,1006700
2010,1030000
2011,1063000
2012,1098000
2013,1149000
2014,1191700
2015,1353000
2016,1407000
2017,1426000
2018,1310000
2019,1348000
2020,1379000
2021,1405000
2022,1377333.33
2023,1387111.11
