epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.2421,1.04276,3.13564,1.31413,0.00524,0.79738,0.14394,0.10963,0.90033,3.30778,1.2004,0.0003125,0.0003125,0.0003125
2,171.913,0.93711,2.43588,1.24496,0.41994,0.19621,0.21045,0.15265,0.97709,2.56895,1.23219,0.000624877,0.000624877,0.000624877
3,252.784,1.03016,2.30185,1.28704,0.45054,0.27978,0.22047,0.14116,1.14536,3.14525,1.37137,0.000924385,0.000924385,0.000924385
4,334.06,1.07617,2.24427,1.31043,0.41385,0.34931,0.17682,0.13224,1.02884,2.66258,1.31845,0.00117575,0.00117575,0.00117575
5,414.999,0.96491,2.18677,1.23526,0.41891,0.28028,0.18738,0.13471,1.13432,2.41304,1.44737,0.001151,0.001151,0.001151
6,495.964,1.00527,2.07857,1.24838,0.44751,0.24929,0.16907,0.12682,1.15503,2.63335,1.47154,0.00112625,0.00112625,0.00112625
7,577.807,0.92781,2.07588,1.2116,0.67915,0.19861,0.1561,0.10051,1.36583,2.59016,1.6117,0.0011015,0.0011015,0.0011015
8,659.526,0.99206,2.10854,1.23982,0.36768,0.35592,0.24501,0.17164,1.05935,2.54115,1.35085,0.00107675,0.00107675,0.00107675
9,740.643,0.90473,1.99229,1.18261,0.42354,0.32877,0.19417,0.13308,1.0863,2.38065,1.30418,0.001052,0.001052,0.001052
10,821.753,0.94751,1.99688,1.23471,0.47021,0.31815,0.18999,0.14417,1.05189,2.41319,1.3496,0.00102725,0.00102725,0.00102725
11,903.308,0.98411,2.04404,1.26647,0.45938,0.35411,0.2013,0.14842,1.0919,2.34526,1.37983,0.0010025,0.0010025,0.0010025
12,984.322,0.86939,1.94704,1.19183,0.51031,0.35536,0.24006,0.18464,0.98732,2.22742,1.27991,0.00097775,0.00097775,0.00097775
13,1066.21,0.8904,1.8266,1.18485,0.51964,0.39527,0.28372,0.21528,0.99933,2.07414,1.26381,0.000953,0.000953,0.000953
14,1149.9,0.85738,1.86242,1.15903,0.49523,0.4433,0.26895,0.19882,1.01811,2.08359,1.24466,0.00092825,0.00092825,0.00092825
15,1231.5,0.90313,1.92331,1.17302,0.54595,0.40222,0.28425,0.22672,0.99188,2.10024,1.24656,0.0009035,0.0009035,0.0009035
16,1312.41,0.86993,1.80701,1.18431,0.57917,0.42169,0.3316,0.26473,0.9101,1.96649,1.22098,0.00087875,0.00087875,0.00087875
17,1394.87,0.85999,1.7379,1.16495,0.64685,0.31964,0.3518,0.26681,0.93931,2.00994,1.21929,0.000854,0.000854,0.000854
18,1475.65,0.8538,1.75515,1.18426,0.50034,0.3055,0.2941,0.23904,0.95732,2.12181,1.20806,0.00082925,0.00082925,0.00082925
19,1556.4,0.78105,1.7062,1.12854,0.69234,0.26676,0.323,0.26859,0.96065,1.93498,1.23218,0.0008045,0.0008045,0.0008045
20,1638.63,0.81209,1.69194,1.14128,0.51339,0.38113,0.30507,0.23834,0.98126,1.95609,1.25255,0.00077975,0.00077975,0.00077975
21,1720.38,0.74719,1.6823,1.0984,0.52179,0.43776,0.31738,0.26372,0.89405,1.92123,1.17752,0.000755,0.000755,0.000755
22,1812.71,0.79059,1.68468,1.11067,0.52091,0.3112,0.29582,0.24674,0.8317,1.86154,1.12088,0.00073025,0.00073025,0.00073025
23,1895.03,0.76104,1.66599,1.12376,0.62286,0.2523,0.26765,0.22,0.86919,1.85216,1.17021,0.0007055,0.0007055,0.0007055
24,1977.08,0.8,1.62009,1.13332,0.56924,0.30211,0.26264,0.2212,0.90773,1.91208,1.21761,0.00068075,0.00068075,0.00068075
25,2059.44,0.73667,1.55627,1.09395,0.58845,0.32285,0.3015,0.24845,0.92353,1.87557,1.21961,0.000656,0.000656,0.000656
26,2140.69,0.72348,1.58438,1.07745,0.68779,0.32035,0.34221,0.28887,0.79128,1.73397,1.07147,0.00063125,0.00063125,0.00063125
27,2223.16,0.70484,1.55436,1.07534,0.60664,0.42884,0.38793,0.3021,0.81748,1.72931,1.1313,0.0006065,0.0006065,0.0006065
28,2305.66,0.74531,1.60922,1.10819,0.62639,0.39536,0.37618,0.28665,0.8578,1.69523,1.16234,0.00058175,0.00058175,0.00058175
29,2393.11,0.73606,1.54469,1.09712,0.67171,0.39461,0.38713,0.32126,0.79044,1.62661,1.10133,0.000557,0.000557,0.000557
30,2475.12,0.68256,1.54055,1.07145,0.70163,0.34425,0.34618,0.29924,0.76515,1.60627,1.08015,0.00053225,0.00053225,0.00053225
31,2557.16,0.70832,1.4987,1.08345,0.68619,0.37808,0.38775,0.33143,0.74798,1.59653,1.07753,0.0005075,0.0005075,0.0005075
32,2639.36,0.69104,1.51956,1.08307,0.65025,0.27326,0.34856,0.29527,0.80234,1.69947,1.10942,0.00048275,0.00048275,0.00048275
33,2722.21,0.66621,1.50769,1.04155,0.56106,0.40801,0.34076,0.28379,0.82725,1.62155,1.13539,0.000458,0.000458,0.000458
34,2803.29,0.69421,1.47391,1.09704,0.66712,0.36874,0.371,0.30347,0.81694,1.5769,1.12062,0.00043325,0.00043325,0.00043325
35,2885.17,0.67286,1.44933,1.05399,0.57482,0.47,0.3484,0.29527,0.77742,1.57778,1.11593,0.0004085,0.0004085,0.0004085
36,2970.09,0.69179,1.46628,1.06361,0.70515,0.35601,0.36396,0.30449,0.77544,1.58887,1.10336,0.00038375,0.00038375,0.00038375
37,3052.3,0.67063,1.42612,1.07317,0.66073,0.33782,0.35953,0.29489,0.80416,1.63176,1.13127,0.000359,0.000359,0.000359
38,3133.03,0.65194,1.4361,1.05708,0.65594,0.36055,0.35495,0.298,0.7904,1.60852,1.10863,0.00033425,0.00033425,0.00033425
39,3214.66,0.64655,1.43205,1.04941,0.68617,0.35466,0.37247,0.32132,0.77633,1.58025,1.10129,0.0003095,0.0003095,0.0003095
40,3295.86,0.64488,1.38556,1.0444,0.72884,0.33436,0.39375,0.33979,0.76749,1.52013,1.10157,0.00028475,0.00028475,0.00028475
41,3377.05,0.50064,1.61509,1.00823,0.62736,0.4099,0.39489,0.34089,0.7635,1.50812,1.0871,0.00026,0.00026,0.00026
42,3457.63,0.53266,1.47501,1.02204,0.64101,0.39387,0.39386,0.33963,0.79613,1.63328,1.09203,0.00023525,0.00023525,0.00023525
